Moon Name,Diameter (km),Distance from Jupiter (km)
Metis,43,128000
Adrastea,16,129000
Amalthea,167,181400
Thebe,99,221900
Io,3643,421800
Europa,3122,671100
Ganymede,5262,1070400
Callisto,4821,1882700
Themisto,8,7507000
Leda,20,11165000
S/2018 J2,6,11419700
Himalia,170,11461000
Ersa,6,11483000
Pandia,6,11525000
S/2011 J3,6,11716800
Lysithea,36,11717000
Elara,86,11741000
Dia,4,12118000
S/2018 J4,4,16328500
Carpo,3,16989000
Valetudo,2,18980000
S/2003 J12,1,19002480
Euporie,2,19302000
S/2003 J18,1,20274000
S/2010 J2,1,20307150
S/2017 J7,2,20627000
S/2016 J1,1,20650845
S/2017 J3,2,20694000
Orthosie,1,20721000
S/2021 J3,2,20776700
Euanthe,2,20799000
S/2021 J2,1,20926600
Thyone,2,20940000
S/2021 J1,1,20954700
S/2003 J16,2,21000000
S/2022 J3,1,21047700
Mneme,1,21069000
Harpalyke,2,21105000
Hermippe,2,21131000
Praxidike,3,21147000
Thelxinoe,1,21162000
Eupheme,1,21199710
Helike,2,21263000
Iocaste,3,21269000
Ananke,14,21276000
S/2017 J9,3,21487000
S/2003 J9,1,22441680
S/2017 J6,2,22455000
S/2011 J1,2,22462000

